
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,1,2,1,100000000,610000003059,
1,,Spine,2,2,1,100000000,610000003065,
1,,Spine,2,2,1,100000000,610000003096,
1,,Spine,4,3,1,100000000,610000003106,
1,,Spine,2,3,1,100000000,610000003108,
1,,Spine,3,3,1,100000000,610000003112,
1,,Spine,0,1,1,100000000,610000003121,
1,,Spine,7,4,1,100000000,610000003127,
1,,Spine,6,3,1,100000001,610000003140,
1,,Spine,2,2,1,100000000,610000003217,
1,,Spine,0,1,1,100000001,610000003258,
1,,Spine,3,2,1,100000000,610000003268,
1,,Spine,1,1,1,100000000,610000003271,
1,,Spine,0,1,1,100000000,610000003280,
1,,Spine,0,1,1,100000000,610000003298,
1,,Spine,1,2,1,100000000,610000003314,
1,,Spine,0,1,1,100000000,610000003346,
1,,Spine,0,1,1,100000001,610000003355,
1,,Spine,1,1,1,100000001,610000003384,
1,,Spine,0,1,1,100000001,610000003393,
1,,Spine,3,2,1,,610000003443,
1,,Spine,4,3,1,,610000003444,
1,,Spine,5,3,1,,610000003444,
1,,Spine,0,1,1,,610000003445,
1,,Spine,5,3,1,,610000003445,
1,,Spine,6,2,1,,610000003446,
1,,Spine,1,1,1,,610000003446,
1,,Spine,1,1,1,,610000003447,
1,,Spine,3,2,1,,610000003448,
1,,Spine,1,1,1,,610000003448,
1,,Spine,3,1,1,,610000003449,
1,,Spine,6,2,1,,610000003450,
1,,Spine,7,2,1,,610000003451,
1,,Spine,0,1,1,,610000003451,
1,,Spine,7,2,1,,610000003452,
1,,Spine,0,1,1,,610000003452,
1,,Spine,0,1,1,,610000003453,
1,,Spine,10,4,1,,610000003453,
1,,Spine,0,1,1,,610000003454,
1,,Spine,0,1,1,,610000003455,
