
Pt Time Type=Segment Branch
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,11,1,Segment Branch,100000000,800000004,
0,s,Point,10,1,Segment Branch,100000000,800000005,
0,s,Point,9,1,Segment Branch,100000000,800000006,
0,s,Point,8,1,Segment Branch,100000000,800000007,
0,s,Point,7,1,Segment Branch,100000000,800000008,
0,s,Point,6,1,Segment Branch,100000000,800000009,
0,s,Point,5,1,Segment Branch,100000000,800000010,
0,s,Point,4,1,Segment Branch,100000000,800000011,
0,s,Point,3,1,Segment Branch,100000000,800000012,
0,s,Point,2,1,Segment Branch,100000000,800000013,
0,s,Point,1,1,Segment Branch,100000000,800000014,
0,s,Point,0,1,Segment Branch,100000000,800000015,
0,s,Point,9,1,Segment Branch,100000000,800000019,
0,s,Point,8,1,Segment Branch,100000000,800000024,
0,s,Point,4,1,Segment Branch,100000000,800000030,
0,s,Point,3,1,Segment Branch,100000000,800000031,
0,s,Point,2,1,Segment Branch,100000000,800000032,
0,s,Point,1,1,Segment Branch,100000000,800000033,
0,s,Point,0,1,Segment Branch,100000000,800000034,
0,s,Point,3,1,Segment Branch,100000000,800000038,
0,s,Point,6,1,Segment Branch,100000000,800000042,
0,s,Point,5,1,Segment Branch,100000000,800000043,
0,s,Point,4,1,Segment Branch,100000000,800000044,
0,s,Point,3,1,Segment Branch,100000000,800000045,
0,s,Point,2,1,Segment Branch,100000000,800000046,
0,s,Point,1,1,Segment Branch,100000000,800000047,
0,s,Point,0,1,Segment Branch,100000000,800000048,
0,s,Point,1,1,Segment Branch,100000000,800000051,
0,s,Point,8,1,Segment Branch,100000000,800000053,
0,s,Point,7,1,Segment Branch,100000000,800000054,
0,s,Point,6,1,Segment Branch,100000000,800000055,
0,s,Point,5,1,Segment Branch,100000000,800000056,
0,s,Point,4,1,Segment Branch,100000000,800000057,
0,s,Point,3,1,Segment Branch,100000000,800000058,
0,s,Point,7,1,Segment Branch,100000000,800000060,
0,s,Point,4,1,Segment Branch,100000000,800000063,
0,s,Point,2,1,Segment Branch,100000000,800000067,
0,s,Point,1,1,Segment Branch,100000000,800000068,
0,s,Point,0,1,Segment Branch,100000000,800000069,
0,s,Point,3,1,Segment Branch,100000000,800000074,
0,s,Point,5,1,Segment Branch,100000000,800000077,
0,s,Point,4,1,Segment Branch,100000000,800000078,
0,s,Point,1,1,Segment Branch,100000000,800000083,
0,s,Point,2,1,Segment Branch,100000000,800000093,
0,s,Point,0,1,Segment Branch,100000000,800000100,
0,s,Point,8,1,Segment Branch,100000001,800000102,
0,s,Point,7,1,Segment Branch,100000001,800000103,
0,s,Point,6,1,Segment Branch,100000001,800000104,
0,s,Point,5,1,Segment Branch,100000001,800000105,
0,s,Point,4,1,Segment Branch,100000001,800000106,
0,s,Point,3,1,Segment Branch,100000001,800000107,
0,s,Point,2,1,Segment Branch,100000001,800000108,
0,s,Point,1,1,Segment Branch,100000001,800000109,
0,s,Point,0,1,Segment Branch,100000001,800000110,
0,s,Point,4,1,Segment Branch,100000001,800000115,
0,s,Point,3,1,Segment Branch,100000001,800000116,
0,s,Point,2,1,Segment Branch,100000001,800000117,
0,s,Point,1,1,Segment Branch,100000001,800000118,
0,s,Point,0,1,Segment Branch,100000001,800000119,
0,s,Point,2,1,Segment Branch,100000001,800000122,
0,s,Point,5,1,Segment Branch,100000001,800000126,
