
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,6,2,1,100000001,610000004751,
1,,Spine,12,4,1,100000001,610000004767,
1,,Spine,6,2,1,100000001,610000004771,
1,,Spine,4,3,1,100000003,610000004775,
1,,Spine,4,3,1,100000001,610000004777,
1,,Spine,5,4,1,100000002,610000004780,
1,,Spine,0,1,1,100000001,610000004783,
1,,Spine,2,1,1,100000001,610000004788,
1,,Spine,2,2,1,100000000,610000004791,
1,,Spine,5,2,1,100000000,610000004793,
1,,Spine,2,3,1,100000002,610000004796,
1,,Spine,6,1,1,100000001,610000004799,
1,,Spine,20,7,1,100000001,610000004805,
1,,Spine,7,3,1,100000003,610000004807,
1,,Spine,1,2,1,100000002,610000004809,
1,,Spine,7,2,1,100000001,610000004815,
1,,Spine,8,1,1,100000000,610000004818,
1,,Spine,4,3,1,100000002,610000004820,
1,,Spine,6,2,1,100000002,610000004827,
1,,Spine,2,1,1,100000001,610000004830,
1,,Spine,3,2,1,100000002,610000004832,
1,,Spine,1,2,1,100000002,610000004834,
1,,Spine,1,1,1,100000002,610000004837,
1,,Spine,3,3,1,100000002,610000004839,
1,,Spine,8,4,1,100000002,610000004842,
1,,Spine,6,3,1,100000003,610000004856,
1,,Spine,6,3,1,100000002,610000004864,
1,,Spine,5,4,1,100000003,610000004874,
1,,Spine,3,3,1,100000002,610000004880,
1,,Spine,9,3,1,100000002,610000004884,
1,,Spine,0,1,1,100000002,610000004887,
1,,Spine,19,6,1,100000001,610000004890,
1,,Spine,0,1,1,100000002,610000004897,
1,,Spine,2,2,1,100000002,610000004900,
1,,Spine,0,1,1,100000002,610000004905,
1,,Spine,9,6,1,100000003,610000004909,
1,,Spine,0,1,1,100000001,610000004916,
1,,Spine,0,1,1,100000002,610000004923,
1,,Spine,0,1,1,100000000,610000004927,
1,,Spine,4,2,1,100000002,610000004933,
1,,Spine,18,6,1,100000001,610000004949,
1,,Spine,5,1,1,100000000,610000004953,
1,,Spine,6,3,1,100000003,610000004972,
1,,Spine,4,3,1,100000000,610000004976,
1,,Spine,13,4,1,100000001,610000004978,
1,,Spine,4,3,1,100000003,610000004981,
1,,Spine,8,5,1,100000003,610000004984,
1,,Spine,0,1,1,100000002,610000005000,
1,,Spine,2,1,1,100000001,610000005005,
1,,Spine,6,5,1,100000003,610000005007,
