
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
29,,Segment,3,9,Image 1,4,1,100000001,510000000045,
18,,Segment,3,8,Image 1,4,1,100000001,510000000062,
10,,Segment,3,7,Image 1,3,1,100000001,510000000071,
22,,Segment,3,6,Image 1,2,1,100000001,510000000092,
14,,Segment,3,5,Image 1,1,1,100000001,510000000105,
8,,Segment,3,4,Image 1,1,1,100000001,510000000112,
27,,Segment,3,3,Image 1,1,1,100000001,510000000138,
34,,Segment,3,2,Image 1,1,1,100000001,510000000171,
6,,Segment,3,1,Image 1,1,1,100000001,510000000176,
2,,Segment,3,0,Image 1,1,1,100000001,510000000180,
4,,Segment,3,9,Image 1,5,1,100000001,510000000201,
16,,Segment,3,8,Image 1,3,1,100000001,510000000216,
9,,Segment,3,7,Image 1,2,1,100000001,510000000224,
73,,Segment,3,6,Image 1,2,1,100000000,510000000296,
7,,Segment,3,5,Image 1,2,1,100000000,510000000302,
4,,Segment,3,3,Image 1,2,1,100000000,510000000306,
8,,Segment,3,2,Image 1,1,1,100000000,510000000313,
4,,Segment,3,1,Image 1,1,1,100000000,510000000316,
39,,Segment,3,0,Image 1,1,1,100000000,510000000355,
42,,Segment,3,4,Image 1,3,1,100000000,510000000431,
15,,Segment,3,5,Image 1,3,1,100000000,510000000445,
9,,Segment,3,4,Image 1,2,1,100000000,510000000453,
9,,Segment,3,3,Image 1,1,1,100000000,510000000461,
12,,Segment,3,6,Image 1,3,1,100000000,510000000472,
6,,Segment,3,2,Image 1,3,1,100000000,510000000478,
5,,Segment,3,1,Image 1,2,1,100000000,510000000482,
3,,Segment,3,2,Image 1,2,1,100000000,510000000484,
5,,Segment,3,2,Image 1,2,1,100000000,510000000488,
13,,Segment,3,9,Image 1,4,1,100000001,510000000500,
3,,Segment,3,7,Image 1,4,1,100000001,510000000503,
62,,Segment,3,6,Image 1,3,1,100000001,510000000564,
18,,Segment,3,5,Image 1,2,1,100000001,510000000581,
15,,Segment,3,4,Image 1,2,1,100000001,510000000595,
13,,Segment,3,9,Image 1,5,1,100000001,510000000607,
4,,Segment,3,8,Image 1,4,1,100000001,510000000610,
4,,Segment,3,7,Image 1,3,1,100000001,510000000613,
18,,Segment,3,8,Image 1,5,1,100000001,510000000630,
15,,Segment,3,10,Image 1,4,1,100000001,510000000646,
3,,Segment,3,9,Image 1,4,1,100000001,510000000648,
6,,Segment,3,10,Image 1,5,1,100000001,510000000653,
4,,Segment,3,9,Image 1,5,1,100000001,510000000656,
4,,Segment,3,8,Image 1,3,1,100000001,510000000659,
9,,Segment,3,2,Image 1,3,1,100000002,510000000667,
8,,Segment,3,1,Image 1,2,1,100000002,510000000674,
73,,Segment,3,0,Image 1,1,1,100000002,510000000748,
12,,Segment,3,2,Image 1,2,1,100000002,510000000785,
5,,Segment,3,6,Image 1,1,1,100000001,510000000789,
7,,Segment,3,6,Image 1,3,1,100000001,510000000795,
3,,Segment,3,6,Image 1,2,1,100000001,510000000797,
6,,Segment,3,6,Image 1,3,1,100000001,510000000803,
8,,Segment,3,5,Image 1,3,1,100000001,510000000811,
4,,Segment,3,6,Image 1,2,1,100000001,510000000814,
10,,Segment,3,4,Image 1,3,1,100000001,510000000823,
10,,Segment,3,3,Image 1,2,1,100000001,510000000832,
5,,Segment,3,4,Image 1,2,1,100000001,510000000836,
8,,Segment,3,0,Image 1,1,1,100000001,510000000849,
7,,Segment,3,0,Image 1,1,1,100000002,510000000882,
27,,Segment,3,2,Image 1,1,1,100000001,510000000918,
7,,Segment,3,1,Image 1,1,1,100000001,510000000924,
17,,Segment,3,0,Image 1,1,1,100000001,510000000951,
12,,Segment,3,1,Image 1,2,1,100000001,510000000962,
5,,Segment,3,0,Image 1,1,1,100000001,510000000968,
4,,Segment,3,1,Image 1,1,1,100000001,510000001023,
4,,Segment,3,2,Image 1,2,1,100000001,510000001027,
11,,Segment,3,1,Image 1,2,1,100000002,510000001037,
9,,Segment,3,0,Image 1,1,1,100000002,510000001054,
3,,Segment,3,2,Image 1,2,1,100000001,510000001056,
4,,Segment,3,2,Image 1,1,1,100000002,510000001084,
6,,Segment,3,1,Image 1,1,1,100000002,510000001089,
3,,Segment,3,2,Image 1,2,1,100000002,510000001096,
6,,Segment,3,1,Image 1,2,1,100000001,510000001116,
8,,Segment,3,1,Image 1,2,1,100000001,510000001174,
2,,Segment,3,4,Image 1,2,1,100000000,510000001201,
2,,Segment,3,4,Image 1,1,1,100000000,510000001202,
2,,Segment,3,5,Image 1,2,1,100000001,510000001203,
2,,Segment,3,8,Image 1,4,1,100000001,510000001204,
2,,Segment,3,1,Image 1,1,1,100000002,510000001206,
