
Segment Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
37.7322,,Segment,2,7,Image 1,5,1,100000001,510000000018,
26.0064,,Segment,2,6,Image 1,4,1,100000001,510000000026,
34.0267,,Segment,2,5,Image 1,4,1,100000001,510000000043,
45.2335,,Segment,2,4,Image 1,3,1,100000001,510000000129,
29.4502,,Segment,2,3,Image 1,2,1,100000001,510000000141,
29.097,,Segment,2,2,Image 1,2,1,100000001,510000000160,
27.4319,,Segment,2,1,Image 1,2,1,100000001,510000000173,
20.7939,,Segment,2,0,Image 1,1,1,100000001,510000000181,
36.6424,,Segment,2,7,Image 1,4,1,100000001,510000000201,
24.5557,,Segment,2,7,Image 1,6,1,100000001,510000000210,
24.8888,,Segment,2,6,Image 1,5,1,100000001,510000000215,
24.4779,,Segment,2,7,Image 1,5,1,100000001,510000000218,
32.5385,,Segment,2,5,Image 1,3,1,100000001,510000000235,
20.9781,,Segment,2,25,Image 1,8,1,100000000,510000000247,
14.3962,,Segment,2,24,Image 1,8,1,100000000,510000000254,
10.2018,,Segment,2,23,Image 1,8,1,100000000,510000000256,
20.6764,,Segment,2,22,Image 1,8,1,100000000,510000000284,
21.0452,,Segment,2,21,Image 1,8,1,100000000,510000000312,
19.8621,,Segment,2,20,Image 1,8,1,100000000,510000000326,
27.8274,,Segment,2,19,Image 1,7,1,100000000,510000000346,
26.3231,,Segment,2,18,Image 1,6,1,100000000,510000000368,
30.9268,,Segment,2,17,Image 1,5,1,100000000,510000000372,
32.2373,,Segment,2,16,Image 1,5,1,100000000,510000000384,
29.6742,,Segment,2,15,Image 1,5,1,100000000,510000000387,
28.7486,,Segment,2,14,Image 1,5,1,100000000,510000000391,
29.4473,,Segment,2,13,Image 1,5,1,100000000,510000000399,
22.6447,,Segment,2,12,Image 1,4,1,100000000,510000000413,
20.8299,,Segment,2,10,Image 1,4,1,100000000,510000000420,
20.1609,,Segment,2,9,Image 1,4,1,100000000,510000000441,
21.0304,,Segment,2,8,Image 1,3,1,100000000,510000000450,
22.1296,,Segment,2,7,Image 1,3,1,100000000,510000000454,
26.9803,,Segment,2,6,Image 1,2,1,100000000,510000000457,
24.5567,,Segment,2,5,Image 1,2,1,100000000,510000000460,
25.0064,,Segment,2,4,Image 1,2,1,100000000,510000000463,
26.2895,,Segment,2,3,Image 1,1,1,100000000,510000000475,
17.3582,,Segment,2,2,Image 1,1,1,100000000,510000000502,
27.6843,,Segment,2,1,Image 1,1,1,100000000,510000000513,
27.5557,,Segment,2,0,Image 1,1,1,100000000,510000000518,
19.4796,,Segment,2,25,Image 1,9,1,100000000,510000000552,
13.2782,,Segment,2,24,Image 1,9,1,100000000,510000000555,
15.2231,,Segment,2,23,Image 1,9,1,100000000,510000000562,
10.3846,,Segment,2,23,Image 1,9,1,100000000,510000000565,
28.715,,Segment,2,22,Image 1,9,1,100000000,510000000569,
