
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,12,Image 1,9,1,100000000,510000000018,
0,,Segment,3,11,Image 1,9,1,100000000,510000000026,
33,,Segment,3,10,Image 1,8,1,100000000,510000000030,
0,,Segment,3,9,Image 1,7,1,100000000,510000000060,
0,,Segment,3,8,Image 1,6,1,100000000,510000000080,
0,,Segment,3,7,Image 1,5,1,100000000,510000000106,
54,,Segment,3,5,Image 1,3,1,100000000,510000000115,
52,,Segment,3,4,Image 1,3,1,100000000,510000000137,
23,,Segment,3,3,Image 1,2,1,100000000,510000000147,
10,,Segment,3,2,Image 1,2,1,100000000,510000000204,
36,,Segment,3,1,Image 1,1,1,100000000,510000000206,
23,,Segment,3,0,Image 1,1,1,100000000,510000000216,
0,,Segment,3,9,Image 1,6,1,100000001,510000000233,
28,,Segment,3,8,Image 1,5,1,100000001,510000000237,
29,,Segment,3,7,Image 1,5,1,100000001,510000000239,
16,,Segment,3,6,Image 1,5,1,100000001,510000000242,
15,,Segment,3,5,Image 1,4,1,100000001,510000000251,
10,,Segment,3,4,Image 1,3,1,100000001,510000000261,
0,,Segment,3,3,Image 1,3,1,100000001,510000000293,
19,,Segment,3,2,Image 1,2,1,100000001,510000000297,
29,,Segment,3,1,Image 1,1,1,100000001,510000000300,
64,,Segment,3,0,Image 1,1,1,100000001,510000000311,
0,,Segment,3,5,Image 1,4,1,100000002,510000000361,
0,,Segment,3,4,Image 1,3,1,100000002,510000000368,
17,,Segment,3,3,Image 1,2,1,100000002,510000000375,
13,,Segment,3,2,Image 1,1,1,100000002,510000000409,
23,,Segment,3,1,Image 1,1,1,100000002,510000000428,
19,,Segment,3,0,Image 1,1,1,100000002,510000000453,
0,,Segment,3,1,Image 1,2,1,100000002,510000000513,
0,,Segment,3,0,Image 1,1,1,100000002,510000000545,
0,,Segment,3,6,Image 1,4,1,100000001,510000000555,
0,,Segment,3,2,Image 1,1,1,100000002,510000000605,
14,,Segment,3,1,Image 1,1,1,100000002,510000000619,
0,,Segment,3,3,Image 1,3,1,100000000,510000000637,
17,,Segment,3,2,Image 1,2,1,100000000,510000000651,
27,,Segment,3,1,Image 1,2,1,100000000,510000000697,
33,,Segment,3,0,Image 1,1,1,100000000,510000000713,
10,,Segment,3,12,Image 1,9,1,100000000,510000000770,
17,,Segment,3,11,Image 1,8,1,100000000,510000000773,
21,,Segment,3,13,Image 1,8,1,100000000,510000000780,
0,,Segment,3,11,Image 1,8,1,100000000,510000000798,
0,,Segment,3,11,Image 1,7,1,100000000,510000000803,
0,,Segment,3,9,Image 1,7,1,100000001,510000000834,
40,,Segment,3,8,Image 1,6,1,100000001,510000000839,
0,,Segment,3,6,Image 1,5,1,100000001,510000000890,
12,,Segment,3,5,Image 1,4,1,100000001,510000000901,
22,,Segment,3,4,Image 1,4,1,100000001,510000000915,
22,,Segment,3,2,Image 1,2,1,100000001,510000000921,
43,,Segment,3,1,Image 1,1,1,100000001,510000000923,
0,,Segment,3,0,Image 1,1,1,100000001,510000000936,
0,,Segment,3,15,Image 1,9,1,100000001,510000000983,
57,,Segment,3,14,Image 1,8,1,100000001,510000000986,
35,,Segment,3,13,Image 1,8,1,100000001,510000000993,
35,,Segment,3,12,Image 1,8,1,100000001,510000000995,
3,,Segment,3,11,Image 1,8,1,100000001,510000001020,
33,,Segment,3,10,Image 1,7,1,100000001,510000001026,
0,,Segment,3,9,Image 1,6,1,100000001,510000001044,
0,,Segment,3,8,Image 1,6,1,100000001,510000001059,
0,,Segment,3,7,Image 1,6,1,100000001,510000001065,
0,,Segment,3,10,Image 1,7,1,100000000,510000001078,
0,,Segment,3,9,Image 1,6,1,100000000,510000001103,
21,,Segment,3,10,Image 1,6,1,100000000,510000001112,
0,,Segment,3,8,Image 1,5,1,100000000,510000001143,
23,,Segment,3,7,Image 1,4,1,100000000,510000001148,
57,,Segment,3,6,Image 1,3,1,100000000,510000001153,
16,,Segment,3,5,Image 1,3,1,100000000,510000001166,
14,,Segment,3,4,Image 1,3,1,100000000,510000001198,
0,,Segment,3,2,Image 1,2,1,100000000,510000001216,
12,,Segment,3,1,Image 1,1,1,100000000,510000001285,
48,,Segment,3,0,Image 1,1,1,100000000,510000001292,
9,,Segment,3,8,Image 1,4,1,100000000,510000001321,
0,,Segment,3,7,Image 1,4,1,100000000,510000001345,
36,,Segment,3,6,Image 1,3,1,100000000,510000001350,
