
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
7,,Filament,1.000,1,100000000,
7,,Filament,2.000,1,100000000,
5,,Filament,3.000,1,100000000,
6,,Filament,4.000,1,100000000,
6,,Filament,5.000,1,100000000,
6,,Filament,6.000,1,100000000,
7,,Filament,7.000,1,100000000,
7,,Filament,8.000,1,100000000,
6,,Filament,9.000,1,100000000,
6,,Filament,10.000,1,100000000,
8,,Filament,11.000,1,100000000,
9,,Filament,12.000,1,100000000,
9,,Filament,13.000,1,100000000,
8,,Filament,14.000,1,100000000,
9,,Filament,15.000,1,100000000,
9,,Filament,16.000,1,100000000,
9,,Filament,17.000,1,100000000,
9,,Filament,18.000,1,100000000,
8,,Filament,19.000,1,100000000,
7,,Filament,20.000,1,100000000,
7,,Filament,21.000,1,100000000,
6,,Filament,22.000,1,100000000,
5,,Filament,23.000,1,100000000,
7,,Filament,24.000,1,100000000,
6,,Filament,25.000,1,100000000,
6,,Filament,26.000,1,100000000,
5,,Filament,27.000,1,100000000,
6,,Filament,28.000,1,100000000,
6,,Filament,29.000,1,100000000,
7,,Filament,30.000,1,100000000,
7,,Filament,31.000,1,100000000,
8,,Filament,32.000,1,100000000,
10,,Filament,33.000,1,100000000,
11,,Filament,34.000,1,100000000,
12,,Filament,35.000,1,100000000,
13,,Filament,36.000,1,100000000,
13,,Filament,37.000,1,100000000,
10,,Filament,38.000,1,100000000,
9,,Filament,39.000,1,100000000,
10,,Filament,40.000,1,100000000,
10,,Filament,41.000,1,100000000,
9,,Filament,42.000,1,100000000,
8,,Filament,43.000,1,100000000,
7,,Filament,44.000,1,100000000,
6,,Filament,45.000,1,100000000,
3,,Filament,46.000,1,100000000,
2,,Filament,47.000,1,100000000,
1,,Filament,48.000,1,100000000,
2,,Filament,49.000,1,100000000,
2,,Filament,50.000,1,100000000,
2,,Filament,51.000,1,100000000,
1,,Filament,52.000,1,100000000,
1,,Filament,53.000,1,100000000,
0,,Filament,54.000,1,100000000,
0,,Filament,0.000,1,100000001,
10,,Filament,1.000,1,100000001,
10,,Filament,2.000,1,100000001,
13,,Filament,3.000,1,100000001,
10,,Filament,4.000,1,100000001,
11,,Filament,5.000,1,100000001,
14,,Filament,6.000,1,100000001,
12,,Filament,7.000,1,100000001,
14,,Filament,8.000,1,100000001,
12,,Filament,9.000,1,100000001,
14,,Filament,10.000,1,100000001,
14,,Filament,11.000,1,100000001,
14,,Filament,12.000,1,100000001,
14,,Filament,13.000,1,100000001,
12,,Filament,14.000,1,100000001,
11,,Filament,15.000,1,100000001,
10,,Filament,16.000,1,100000001,
10,,Filament,17.000,1,100000001,
10,,Filament,18.000,1,100000001,
10,,Filament,19.000,1,100000001,
11,,Filament,20.000,1,100000001,
14,,Filament,21.000,1,100000001,
12,,Filament,22.000,1,100000001,
9,,Filament,23.000,1,100000001,
9,,Filament,24.000,1,100000001,
12,,Filament,25.000,1,100000001,
12,,Filament,26.000,1,100000001,
11,,Filament,27.000,1,100000001,
12,,Filament,28.000,1,100000001,
11,,Filament,29.000,1,100000001,
10,,Filament,30.000,1,100000001,
11,,Filament,31.000,1,100000001,
12,,Filament,32.000,1,100000001,
13,,Filament,33.000,1,100000001,
10,,Filament,34.000,1,100000001,
9,,Filament,35.000,1,100000001,
8,,Filament,36.000,1,100000001,
8,,Filament,37.000,1,100000001,
6,,Filament,38.000,1,100000001,
7,,Filament,39.000,1,100000001,
7,,Filament,40.000,1,100000001,
7,,Filament,41.000,1,100000001,
9,,Filament,42.000,1,100000001,
8,,Filament,43.000,1,100000001,
6,,Filament,44.000,1,100000001,
3,,Filament,45.000,1,100000001,
3,,Filament,46.000,1,100000001,
2,,Filament,47.000,1,100000001,
2,,Filament,48.000,1,100000001,
2,,Filament,49.000,1,100000001,
1,,Filament,50.000,1,100000001,
0,,Filament,51.000,1,100000001,
0,,Filament,0.000,1,100000002,
6,,Filament,1.000,1,100000002,
8,,Filament,2.000,1,100000002,
9,,Filament,3.000,1,100000002,
10,,Filament,4.000,1,100000002,
