
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,6,Image 1,3,1,100000003,510000000045,
0,,Segment,3,5,Image 1,2,1,100000003,510000000102,
0,,Segment,3,4,Image 1,2,1,100000003,510000000104,
0,,Segment,3,3,Image 1,2,1,100000003,510000000144,
0,,Segment,3,2,Image 1,1,1,100000003,510000000184,
0,,Segment,3,1,Image 1,1,1,100000003,510000000197,
0,,Segment,3,0,Image 1,1,1,100000003,510000000220,
0,,Segment,3,5,Image 1,3,1,100000003,510000000245,
0,,Segment,3,4,Image 1,3,1,100000003,510000000248,
0,,Segment,3,7,Image 1,2,1,100000003,510000000252,
0,,Segment,3,6,Image 1,1,1,100000003,510000000272,
0,,Segment,3,5,Image 1,1,1,100000003,510000000298,
0,,Segment,3,4,Image 1,1,1,100000003,510000000393,
0,,Segment,3,3,Image 1,1,1,100000003,510000000425,
0,,Segment,3,2,Image 1,1,1,100000003,510000000454,
0,,Segment,3,1,Image 1,1,1,100000003,510000000496,
0,,Segment,3,0,Image 1,1,1,100000003,510000000537,
0,,Segment,3,7,Image 1,1,1,100000003,510000000559,
0,,Segment,3,5,Image 1,2,1,100000003,510000000574,
0,,Segment,3,3,Image 1,3,1,100000003,510000000644,
0,,Segment,3,2,Image 1,2,1,100000003,510000000669,
0,,Segment,3,3,Image 1,2,1,100000003,510000000682,
0,,Segment,3,1,Image 1,2,1,100000003,510000000702,
0,,Segment,3,0,Image 1,1,1,100000003,510000000760,
0,,Segment,3,1,Image 1,1,1,100000003,510000000779,
75.0625,,Segment,3,5,Image 1,5,1,100000001,510000000781,
0.015625,,Segment,3,4,Image 1,4,1,100000001,510000000797,
0,,Segment,3,3,Image 1,3,1,100000001,510000000813,
0,,Segment,3,2,Image 1,2,1,100000001,510000000837,
0,,Segment,3,1,Image 1,2,1,100000001,510000000844,
0,,Segment,3,0,Image 1,1,1,100000001,510000000857,
0,,Segment,3,5,Image 1,3,1,100000001,510000000909,
0,,Segment,3,4,Image 1,3,1,100000001,510000000911,
0,,Segment,3,4,Image 1,3,1,100000001,510000000974,
0,,Segment,3,3,Image 1,2,1,100000001,510000000996,
0,,Segment,3,5,Image 1,3,1,100000001,510000001033,
0,,Segment,3,4,Image 1,2,1,100000001,510000001037,
0,,Segment,3,5,Image 1,2,1,100000001,510000001042,
0,,Segment,3,5,Image 1,4,1,100000001,510000001045,
0,,Segment,3,0,Image 1,1,1,100000005,510000001124,
0,,Segment,3,5,Image 1,2,1,100000005,510000001186,
0,,Segment,3,4,Image 1,2,1,100000005,510000001208,
0,,Segment,3,3,Image 1,1,1,100000005,510000001213,
0,,Segment,3,2,Image 1,1,1,100000005,510000001217,
0,,Segment,3,1,Image 1,1,1,100000005,510000001229,
0,,Segment,3,0,Image 1,1,1,100000005,510000001235,
0,,Segment,3,6,Image 1,2,1,100000000,510000001269,
0,,Segment,3,5,Image 1,1,1,100000000,510000001276,
0,,Segment,3,4,Image 1,1,1,100000000,510000001279,
0,,Segment,3,3,Image 1,1,1,100000000,510000001291,
0,,Segment,3,2,Image 1,1,1,100000000,510000001307,
0,,Segment,3,1,Image 1,1,1,100000000,510000001367,
0,,Segment,3,0,Image 1,1,1,100000000,510000001412,
0,,Segment,3,5,Image 1,3,1,100000005,510000001434,
0,,Segment,3,7,Image 1,2,1,100000000,510000001436,
0,,Segment,3,6,Image 1,1,1,100000000,510000001438,
0,,Segment,3,1,Image 1,1,1,100000005,510000001477,
0,,Segment,3,0,Image 1,1,1,100000005,510000001503,
0,,Segment,3,3,Image 1,2,1,100000000,510000001528,
0,,Segment,3,2,Image 1,2,1,100000000,510000001535,
0,,Segment,3,4,Image 1,2,1,100000003,510000001538,
0,,Segment,3,3,Image 1,3,1,100000005,510000001545,
0,,Segment,3,2,Image 1,2,1,100000005,510000001552,
0,,Segment,3,1,Image 1,1,1,100000005,510000001563,
0,,Segment,3,4,Image 1,1,1,100000005,510000001585,
0,,Segment,3,3,Image 1,1,1,100000005,510000001611,
0,,Segment,3,4,Image 1,2,1,100000005,510000001619,
0,,Segment,3,5,Image 1,2,1,100000000,510000001622,
0,,Segment,3,3,Image 1,2,1,100000003,510000001625,
0,,Segment,3,4,Image 1,2,1,100000000,510000001628,
0,,Segment,3,3,Image 1,2,1,100000000,510000001631,
0,,Segment,3,3,Image 1,3,1,100000000,510000001636,
0,,Segment,3,1,Image 1,2,1,100000005,510000001643,
0,,Segment,3,3,Image 1,2,1,100000005,510000001649,
0,,Segment,3,2,Image 1,2,1,100000005,510000001652,
0,,Segment,3,1,Image 1,1,1,100000005,510000001654,
0,,Segment,3,0,Image 1,1,1,100000005,510000001666,
0,,Segment,3,4,Image 1,1,1,100000005,510000001675,
0,,Segment,3,1,Image 1,2,1,100000005,510000001681,
0,,Segment,3,0,Image 1,1,1,100000005,510000001686,
0,,Segment,3,2,Image 1,1,1,100000005,510000001699,
0,,Segment,3,0,Image 1,1,1,100000005,510000001705,
0,,Segment,3,2,Image 1,2,1,100000000,510000001739,
0,,Segment,3,1,Image 1,2,1,100000000,510000001759,
0,,Segment,3,0,Image 1,1,1,100000005,510000001765,
0,,Segment,3,0,Image 1,1,1,100000005,510000001775,
0,,Segment,3,7,Image 1,3,1,100000001,510000001793,
0,,Segment,3,6,Image 1,3,1,100000001,510000001818,
0,,Segment,3,5,Image 1,2,1,100000001,510000001820,
0,,Segment,3,4,Image 1,1,1,100000001,510000001866,
0,,Segment,3,3,Image 1,1,1,100000001,510000001872,
0,,Segment,3,2,Image 1,1,1,100000001,510000001876,
0,,Segment,3,1,Image 1,1,1,100000001,510000001887,
0,,Segment,3,0,Image 1,1,1,100000001,510000001917,
0,,Segment,3,0,Image 1,1,1,100000005,510000001934,
0.03125,,Segment,3,7,Image 1,4,1,100000001,510000001953,
0,,Segment,3,1,Image 1,2,1,100000005,510000001956,
0,,Segment,3,0,Image 1,1,1,100000005,510000001965,
0,,Segment,3,0,Image 1,1,1,100000005,510000001986,
0,,Segment,3,2,Image 1,3,1,100000003,510000001989,
0,,Segment,3,1,Image 1,2,1,100000003,510000002004,
0,,Segment,3,1,Image 1,1,1,100000005,510000002007,
0,,Segment,3,1,Image 1,2,1,100000005,510000002009,
0,,Segment,3,1,Image 1,1,1,100000001,510000002034,
0.015625,,Segment,3,0,Image 1,1,1,100000001,510000002062,
0,,Segment,3,2,Image 1,2,1,100000003,510000002080,
0,,Segment,3,2,Image 1,2,1,100000005,510000002087,
0,,Segment,3,0,Image 1,1,1,100000005,510000002090,
0,,Segment,3,7,Image 1,3,1,100000001,510000002095,
0.0078125,,Segment,3,6,Image 1,2,1,100000001,510000002100,
0,,Segment,3,5,Image 1,1,1,100000001,510000002126,
0,,Segment,3,0,Image 1,1,1,100000002,510000002200,
0,,Segment,3,0,Image 1,1,1,100000005,510000002214,
0,,Segment,3,0,Image 1,1,1,100000005,510000002222,
0,,Segment,3,2,Image 1,3,1,100000000,510000002240,
0,,Segment,3,0,Image 1,1,1,100000005,510000002242,
0,,Segment,3,0,Image 1,1,1,100000005,510000002255,
0,,Segment,3,1,Image 1,1,1,100000004,510000002280,
0,,Segment,3,0,Image 1,1,1,100000004,510000002324,
0,,Segment,3,0,Image 1,1,1,100000005,510000002349,
0,,Segment,3,3,Image 1,1,1,100000003,510000002351,
0,,Segment,3,7,Image 1,2,1,100000001,510000002356,
0,,Segment,3,1,Image 1,2,1,100000001,510000002403,
0,,Segment,3,2,Image 1,2,1,100000001,510000002432,
0,,Segment,3,0,Image 1,1,1,100000001,510000002445,
0,,Segment,3,2,Image 1,2,1,100000003,510000002462,
0,,Segment,3,1,Image 1,1,1,100000003,510000002468,
0,,Segment,3,0,Image 1,1,1,100000003,510000002484,
0,,Segment,3,4,Image 1,2,1,100000001,510000002491,
0,,Segment,3,1,Image 1,2,1,100000004,510000002500,
0,,Segment,3,0,Image 1,1,1,100000004,510000002538,
0,,Segment,3,2,Image 1,2,1,100000003,510000002581,
0,,Segment,3,1,Image 1,2,1,100000004,510000002587,
0,,Segment,3,1,Image 1,2,1,100000003,510000002591,
0,,Segment,3,1,Image 1,1,1,100000004,510000002594,
0,,Segment,3,3,Image 1,2,1,100000001,510000002598,
0,,Segment,3,2,Image 1,1,1,100000001,510000002600,
0,,Segment,3,2,Image 1,1,1,100000003,510000002629,
0,,Segment,3,0,Image 1,1,1,100000005,510000002633,
0,,Segment,3,3,Image 1,1,1,100000001,510000002644,
0,,Segment,3,3,Image 1,2,1,100000001,510000002659,
0,,Segment,3,0,Image 1,1,1,100000005,510000002665,
0,,Segment,3,1,Image 1,2,1,100000001,510000002668,
0,,Segment,3,0,Image 1,1,1,100000003,510000002678,
0,,Segment,3,0,Image 1,1,1,100000002,510000002705,
0,,Segment,3,2,Image 1,2,1,100000002,510000002730,
0,,Segment,3,1,Image 1,2,1,100000002,510000002732,
0,,Segment,3,0,Image 1,1,1,100000002,510000002745,
0,,Segment,3,1,Image 1,2,1,100000001,510000002748,
0,,Segment,3,1,Image 1,1,1,100000002,510000002767,
0,,Segment,3,0,Image 1,1,1,100000002,510000002773,
0,,Segment,3,4,Image 1,3,1,100000001,510000002806,
0,,Segment,3,3,Image 1,3,1,100000001,510000002809,
0,,Segment,3,1,Image 1,1,1,100000002,510000002817,
0,,Segment,3,0,Image 1,1,1,100000002,510000002821,
0,,Segment,3,0,Image 1,1,1,100000002,510000002825,
0,,Segment,3,0,Image 1,1,1,100000002,510000002832,
0,,Segment,3,0,Image 1,1,1,100000000,510000002885,
0,,Segment,3,1,Image 1,2,1,100000002,510000002901,
0,,Segment,3,1,Image 1,2,1,100000001,510000002908,
0,,Segment,3,0,Image 1,1,1,100000002,510000002911,
0,,Segment,3,1,Image 1,2,1,100000003,510000002914,
0,,Segment,3,0,Image 1,1,1,100000003,510000002922,
0,,Segment,3,2,Image 1,2,1,100000001,510000002924,
0,,Segment,3,0,Image 1,1,1,100000004,510000002928,
0,,Segment,3,0,Image 1,1,1,100000004,510000002944,
0,,Segment,3,0,Image 1,1,1,100000004,510000002947,
0,,Segment,3,1,Image 1,1,1,100000002,510000002952,
0,,Segment,3,0,Image 1,1,1,100000002,510000002957,
0,,Segment,3,0,Image 1,1,1,100000002,510000002987,
0,,Segment,3,1,Image 1,1,1,100000001,510000002996,
0,,Segment,3,0,Image 1,1,1,100000000,510000003000,
0,,Segment,3,1,Image 1,2,1,100000002,510000003020,
0,,Segment,3,0,Image 1,1,1,100000004,510000003025,
0,,Segment,3,0,Image 1,1,1,100000000,510000003056,
0,,Segment,3,0,Image 1,1,1,100000002,510000003061,
0,,Segment,3,7,Image 1,1,1,100000000,510000003073,
37.5156,,Segment,3,5,Image 1,4,1,100000001,510000003075,
0,,Segment,3,2,Image 1,3,1,100000001,510000003076,
0,,Segment,3,4,Image 1,4,1,100000001,510000003077,
0,,Segment,3,3,Image 1,4,1,100000001,510000003078,
0,,Segment,3,1,Image 1,1,1,100000001,510000003080,
0,,Segment,3,0,Image 1,1,1,100000002,510000003082,
0,,Segment,3,2,Image 1,3,1,100000002,510000003084,
0,,Segment,3,6,Image 1,2,1,100000003,510000003088,
0,,Segment,3,6,Image 1,2,1,100000003,510000003089,
0,,Segment,3,0,Image 1,1,1,100000005,510000003094,
0,,Segment,3,3,Image 1,2,1,100000005,510000003095,
0,,Segment,3,2,Image 1,1,1,100000005,510000003096,
0,,Segment,3,3,Image 1,2,1,100000005,510000003104,
0,,Segment,3,1,Image 1,2,1,100000005,510000003105,
0,,Segment,3,0,Image 1,1,1,100000005,510000003108,
