
Spine Terminal Pt Position Y
 ==================== 
Spine Terminal Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
18998.6,µm,Spine,Spine Terminal Pt Position,,,1,,610000001968,
19026.4,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000001976,
19033.4,µm,Spine,Spine Terminal Pt Position,5,6,1,100000000,610000001978,
19003.4,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000001982,
18999.2,µm,Spine,Spine Terminal Pt Position,,,1,,610000001984,
19032.2,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000001989,
19030.3,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000001994,
18995.1,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000001996,
19030.5,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000002007,
19009.5,µm,Spine,Spine Terminal Pt Position,1,1,1,100000006,610000002009,
19031.6,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002058,
19033.4,µm,Spine,Spine Terminal Pt Position,4,5,1,100000000,610000002060,
19033.5,µm,Spine,Spine Terminal Pt Position,,,1,,610000002062,
19009.7,µm,Spine,Spine Terminal Pt Position,0,1,1,100000006,610000002078,
19014.3,µm,Spine,Spine Terminal Pt Position,2,1,1,100000004,610000002080,
19034.2,µm,Spine,Spine Terminal Pt Position,,,1,,610000002088,
19029.2,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000002092,
19036.4,µm,Spine,Spine Terminal Pt Position,,,1,,610000002096,
19026.2,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000002113,
19034.6,µm,Spine,Spine Terminal Pt Position,,,1,,610000002132,
19012.6,µm,Spine,Spine Terminal Pt Position,2,2,1,100000004,610000002139,
18999.1,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002248,
19010.3,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002248,
19033.4,µm,Spine,Spine Terminal Pt Position,5,6,1,,610000002248,
19011.9,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002249,
19009.9,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002249,
19031.2,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002249,
19007.8,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000002249,
19033.3,µm,Spine,Spine Terminal Pt Position,5,5,1,,610000002249,
19012.2,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002250,
19003.2,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000002250,
19033.1,µm,Spine,Spine Terminal Pt Position,4,5,1,,610000002250,
19033.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000002250,
19012.4,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002251,
19032.9,µm,Spine,Spine Terminal Pt Position,4,5,1,,610000002251,
19034,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002252,
19031.4,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002253,
19031.3,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002254,
19016.4,µm,Spine,Spine Terminal Pt Position,,,1,,610000002254,
19032.5,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002256,
19026.4,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000002257,
19026.4,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000002258,
19025.4,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000002259,
