
Segment Time
 ==================== 
Segment Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Segment,0,1,1,100000004,510000000029,
0,s,Segment,3,3,1,100000000,510000000048,
0,s,Segment,2,2,1,100000000,510000000053,
0,s,Segment,1,1,1,100000000,510000000090,
0,s,Segment,0,1,1,100000000,510000000168,
0,s,Segment,3,2,1,100000000,510000000199,
0,s,Segment,2,1,1,100000000,510000000202,
0,s,Segment,6,6,1,100000000,510000000218,
0,s,Segment,5,6,1,100000000,510000000227,
0,s,Segment,4,5,1,100000000,510000000240,
0,s,Segment,3,4,1,100000000,510000000265,
0,s,Segment,2,3,1,100000000,510000000285,
0,s,Segment,1,2,1,100000000,510000000321,
0,s,Segment,6,7,1,100000000,510000000323,
0,s,Segment,5,5,1,100000000,510000000328,
0,s,Segment,5,6,1,100000000,510000000331,
0,s,Segment,4,4,1,100000000,510000000336,
0,s,Segment,3,3,1,100000000,510000000340,
0,s,Segment,2,2,1,100000000,510000000350,
0,s,Segment,5,3,1,100000000,510000000358,
0,s,Segment,4,3,1,100000000,510000000408,
0,s,Segment,3,2,1,100000000,510000000430,
0,s,Segment,2,2,1,100000000,510000000443,
0,s,Segment,1,2,1,100000000,510000000446,
0,s,Segment,0,1,1,100000000,510000000464,
0,s,Segment,5,4,1,100000000,510000000491,
0,s,Segment,5,2,1,100000000,510000000498,
0,s,Segment,4,2,1,100000000,510000000515,
0,s,Segment,5,3,1,100000000,510000000527,
0,s,Segment,3,3,1,100000000,510000000538,
0,s,Segment,2,3,1,100000000,510000000542,
0,s,Segment,1,1,1,100000000,510000000546,
0,s,Segment,1,2,1,100000000,510000000552,
0,s,Segment,2,2,1,100000004,510000000590,
0,s,Segment,1,1,1,100000004,510000000600,
0,s,Segment,0,1,1,100000004,510000000606,
0,s,Segment,2,1,1,100000004,510000000638,
0,s,Segment,1,2,1,100000004,510000000640,
0,s,Segment,4,3,1,100000003,510000000642,
0,s,Segment,3,3,1,100000003,510000000663,
0,s,Segment,2,2,1,100000003,510000000684,
0,s,Segment,1,2,1,100000003,510000000710,
0,s,Segment,0,1,1,100000003,510000000741,
0,s,Segment,4,4,1,100000003,510000000754,
0,s,Segment,3,2,1,100000003,510000000772,
0,s,Segment,3,3,1,100000003,510000000777,
0,s,Segment,2,3,1,100000003,510000000785,
0,s,Segment,1,1,1,100000006,510000000835,
0,s,Segment,0,1,1,100000006,510000000884,
0,s,Segment,3,2,1,100000005,510000000916,
0,s,Segment,2,2,1,100000005,510000000928,
0,s,Segment,1,2,1,100000005,510000000933,
0,s,Segment,0,1,1,100000005,510000000981,
0,s,Segment,2,2,1,100000003,510000000986,
0,s,Segment,1,1,1,100000003,510000001000,
0,s,Segment,0,1,1,100000003,510000001034,
0,s,Segment,2,3,1,100000005,510000001069,
0,s,Segment,1,1,1,100000003,510000001074,
0,s,Segment,1,1,1,100000005,510000001101,
0,s,Segment,1,2,1,100000003,510000001115,
0,s,Segment,1,2,1,100000006,510000001131,
0,s,Segment,3,3,1,100000005,510000001134,
0,s,Segment,1,2,1,100000001,510000001176,
0,s,Segment,0,1,1,100000001,510000001214,
0,s,Segment,2,2,1,100000004,510000001218,
0,s,Segment,1,1,1,100000004,510000001226,
0,s,Segment,0,1,1,100000004,510000001252,
0,s,Segment,0,1,1,100000002,510000001280,
0,s,Segment,0,1,1,100000002,510000001323,
0,s,Segment,2,3,1,100000005,510000001349,
0,s,Segment,1,2,1,100000005,510000001361,
0,s,Segment,0,1,1,100000005,510000001382,
0,s,Segment,1,2,1,100000004,510000001403,
0,s,Segment,2,2,1,100000005,510000001415,
0,s,Segment,0,1,1,100000001,510000001431,
0,s,Segment,1,1,1,100000001,510000001462,
0,s,Segment,0,1,1,100000001,510000001488,
0,s,Segment,0,1,1,100000002,510000001523,
0,s,Segment,1,1,1,100000005,510000001533,
0,s,Segment,0,1,1,100000005,510000001559,
0,s,Segment,0,1,1,100000003,510000001563,
0,s,Segment,1,2,1,100000007,510000001583,
0,s,Segment,0,1,1,100000007,510000001623,
0,s,Segment,0,1,1,100000003,510000001642,
0,s,Segment,1,1,1,100000007,510000001671,
0,s,Segment,0,1,1,100000002,510000001696,
0,s,Segment,0,1,1,100000002,510000001704,
0,s,Segment,0,1,1,100000007,510000001733,
0,s,Segment,2,1,1,100000003,510000001817,
0,s,Segment,2,1,1,100000004,510000001818,
