
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Spine,3,1,1,100000000,610000003483,
7,,Spine,7,3,1,100000000,610000003490,
7,,Spine,7,3,1,100000002,610000003495,
7,,Spine,7,3,1,100000002,610000003499,
4,,Spine,4,3,1,100000002,610000003504,
3,,Spine,3,2,1,100000000,610000003516,
6,,Spine,6,2,1,100000002,610000003519,
5,,Spine,5,3,1,100000001,610000003522,
0,,Spine,0,1,1,100000000,610000003526,
0,,Spine,0,1,1,100000000,610000003530,
0,,Spine,0,1,1,100000002,610000003535,
-1,,Spine,6,2,1,100000002,610000003539,
-1,,Spine,2,2,1,100000001,610000003541,
6,,Spine,6,2,1,100000002,610000003548,
1,,Spine,1,1,1,100000001,610000003553,
14,,Spine,14,8,1,100000001,610000003556,
10,,Spine,10,5,1,100000001,610000003559,
7,,Spine,7,3,1,100000002,610000003565,
-1,,Spine,6,2,1,100000002,610000003569,
4,,Spine,4,3,1,100000001,610000003571,
-1,,Spine,6,2,1,100000002,610000003576,
-1,,Spine,6,2,1,100000002,610000003585,
4,,Spine,4,3,1,100000000,610000003608,
3,,Spine,3,3,1,100000000,610000003609,
12,,Spine,12,7,1,100000000,610000003610,
10,,Spine,10,6,1,100000000,610000003611,
9,,Spine,9,5,1,100000000,610000003612,
9,,Spine,9,5,1,100000000,610000003613,
9,,Spine,9,5,1,100000000,610000003614,
8,,Spine,8,4,1,100000000,610000003615,
7,,Spine,7,4,1,100000000,610000003616,
6,,Spine,6,2,1,100000000,610000003617,
10,,Spine,10,5,1,100000001,610000003618,
10,,Spine,10,5,1,100000001,610000003619,
7,,Spine,7,4,1,100000001,610000003620,
11,,Spine,11,7,1,100000001,610000003621,
12,,Spine,12,7,1,100000001,610000003622,
18,,Spine,18,10,1,100000001,610000003623,
18,,Spine,18,9,1,100000001,610000003624,
13,,Spine,13,7,1,100000001,610000003625,
14,,Spine,14,6,1,100000001,610000003626,
13,,Spine,13,6,1,100000001,610000003627,
13,,Spine,13,6,1,100000001,610000003628,
12,,Spine,12,5,1,100000001,610000003629,
9,,Spine,9,5,1,100000001,610000003630,
8,,Spine,8,4,1,100000001,610000003631,
7,,Spine,7,4,1,100000001,610000003632,
6,,Spine,6,4,1,100000001,610000003633,
2,,Spine,2,2,1,100000001,610000003634,
0,,Spine,0,1,1,100000001,610000003635,
2,,Spine,2,2,1,100000001,610000003639,
1,,Spine,1,2,1,100000002,610000003643,
0,,Spine,0,1,1,100000002,610000003644,
4,,Spine,4,3,1,100000002,610000003645,
4,,Spine,4,3,1,100000002,610000003646,
4,,Spine,4,2,1,100000002,610000003647,
0,,Spine,0,1,1,100000002,610000003648,
0,,Spine,0,1,1,100000002,610000003649,
0,,Spine,0,1,1,100000002,610000003650,
0,,Spine,0,1,1,100000002,610000003651,
4,,Spine,4,3,1,100000002,610000003653,
0,,Spine,0,1,1,100000002,610000003654,
6,,Spine,6,2,1,100000002,610000003658,
6,,Spine,6,2,1,100000002,610000003659,
6,,Spine,6,2,1,100000002,610000003660,
4,,Spine,4,2,1,100000002,610000003661,
4,,Spine,4,2,1,100000002,610000003662,
8,,Spine,8,3,1,100000002,610000003663,
8,,Spine,8,4,1,100000002,610000003664,
7,,Spine,7,4,1,100000002,610000003665,
8,,Spine,8,2,1,100000002,610000003666,
0,,Spine,0,1,1,100000002,610000003667,
