
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Segment,3,5,Image 1,3,1,100000000,510000000123,
3,,Segment,3,4,Image 1,2,1,100000000,510000000139,
4,,Segment,3,3,Image 1,1,1,100000000,510000000166,
0,,Segment,3,2,Image 1,1,1,100000000,510000000195,
7,,Segment,3,1,Image 1,1,1,100000000,510000000204,
0,,Segment,3,0,Image 1,1,1,100000000,510000000248,
4,,Segment,3,7,Image 1,3,1,100000000,510000000264,
1,,Segment,3,6,Image 1,2,1,100000000,510000000293,
6,,Segment,3,5,Image 1,2,1,100000000,510000000317,
2,,Segment,3,4,Image 1,1,1,100000000,510000000338,
3,,Segment,3,7,Image 1,2,1,100000000,510000000345,
1,,Segment,3,6,Image 1,3,1,100000000,510000000374,
1,,Segment,3,6,Image 1,1,1,100000000,510000000415,
5,,Segment,3,5,Image 1,1,1,100000000,510000000418,
5,,Segment,3,6,Image 1,2,1,100000000,510000000427,
3,,Segment,3,5,Image 1,2,1,100000000,510000000435,
3,,Segment,3,3,Image 1,2,1,100000000,510000000441,
10,,Segment,3,2,Image 1,2,1,100000000,510000000446,
5,,Segment,3,1,Image 1,2,1,100000000,510000000455,
2,,Segment,3,1,Image 1,1,1,100000000,510000000588,
3,,Segment,3,0,Image 1,1,1,100000000,510000000628,
2,,Segment,3,1,Image 1,2,1,100000000,510000000642,
19,,Segment,3,0,Image 1,1,1,100000000,510000000654,
