
Segment Center Number of Voxel Ch=2 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
12,,Segment,2,7,Image 1,3,1,100000001,510000000012,
14,,Segment,2,6,Image 1,2,1,100000001,510000000025,
19,,Segment,2,5,Image 1,2,1,100000001,510000000043,
26,,Segment,2,4,Image 1,1,1,100000001,510000000068,
7,,Segment,2,3,Image 1,1,1,100000001,510000000074,
9,,Segment,2,2,Image 1,1,1,100000001,510000000082,
26,,Segment,2,1,Image 1,1,1,100000001,510000000107,
10,,Segment,2,0,Image 1,1,1,100000001,510000000120,
7,,Segment,2,7,Image 1,4,1,100000000,510000000147,
16,,Segment,2,6,Image 1,3,1,100000000,510000000162,
10,,Segment,2,3,Image 1,1,1,100000000,510000000173,
18,,Segment,2,2,Image 1,1,1,100000000,510000000190,
8,,Segment,2,1,Image 1,1,1,100000000,510000000197,
44,,Segment,2,0,Image 1,1,1,100000000,510000000246,
36,,Segment,2,6,Image 1,2,1,100000000,510000000296,
6,,Segment,2,7,Image 1,3,1,100000000,510000000301,
3,,Segment,2,8,Image 1,3,1,100000001,510000000303,
14,,Segment,2,7,Image 1,2,1,100000001,510000000316,
11,,Segment,2,6,Image 1,3,1,100000001,510000000327,
3,,Segment,2,4,Image 1,3,1,100000001,510000000329,
15,,Segment,2,3,Image 1,3,1,100000001,510000000343,
11,,Segment,2,2,Image 1,2,1,100000001,510000000353,
41,,Segment,2,1,Image 1,1,1,100000001,510000000393,
33,,Segment,2,0,Image 1,1,1,100000001,510000000425,
4,,Segment,2,4,Image 1,4,1,100000001,510000000453,
3,,Segment,2,4,Image 1,2,1,100000000,510000000455,
15,,Segment,2,3,Image 1,2,1,100000001,510000000469,
3,,Segment,2,5,Image 1,1,1,100000000,510000000471,
17,,Segment,2,6,Image 1,1,1,100000001,510000000487,
12,,Segment,2,2,Image 1,1,1,100000001,510000000499,
3,,Segment,2,3,Image 1,2,1,100000000,510000000501,
3,,Segment,2,6,Image 1,2,1,100000001,510000000503,
29,,Segment,2,3,Image 1,2,1,100000001,510000000531,
6,,Segment,2,2,Image 1,2,1,100000000,510000000536,
12,,Segment,2,4,Image 1,2,1,100000001,510000000547,
3,,Segment,2,1,Image 1,2,1,100000001,510000000549,
15,,Segment,2,2,Image 1,1,1,100000000,510000000563,
6,,Segment,2,1,Image 1,1,1,100000000,510000000568,
6,,Segment,2,0,Image 1,1,1,100000000,510000000573,
3,,Segment,2,1,Image 1,2,1,100000000,510000000605,
6,,Segment,2,2,Image 1,2,1,100000000,510000000610,
5,,Segment,2,2,Image 1,2,1,100000001,510000000614,
8,,Segment,2,1,Image 1,2,1,100000000,510000000621,
8,,Segment,2,0,Image 1,1,1,100000000,510000000628,
5,,Segment,2,3,Image 1,3,1,100000001,510000000632,
4,,Segment,2,2,Image 1,2,1,100000001,510000000635,
6,,Segment,2,1,Image 1,1,1,100000001,510000000640,
4,,Segment,2,0,Image 1,1,1,100000001,510000000644,
7,,Segment,2,1,Image 1,1,1,100000001,510000000650,
15,,Segment,2,0,Image 1,1,1,100000001,510000000673,
14,,Segment,2,0,Image 1,1,1,100000000,510000000690,
9,,Segment,2,2,Image 1,1,1,100000001,510000000698,
8,,Segment,2,1,Image 1,1,1,100000000,510000000705,
6,,Segment,2,3,Image 1,2,1,100000001,510000000710,
15,,Segment,2,0,Image 1,1,1,100000000,510000000728,
2,,Segment,2,0,Image 1,1,1,100000001,510000000735,
3,,Segment,2,1,Image 1,2,1,100000001,510000000767,
5,,Segment,2,1,Image 1,2,1,100000001,510000000772,
3,,Segment,2,0,Image 1,1,1,100000000,510000000775,
4,,Segment,2,0,Image 1,1,1,100000000,510000000778,
7,,Segment,2,0,Image 1,1,1,100000001,510000000807,
6,,Segment,2,1,Image 1,2,1,100000001,510000000812,
3,,Segment,2,0,Image 1,1,1,100000001,510000000814,
4,,Segment,2,1,Image 1,1,1,100000001,510000000817,
4,,Segment,2,0,Image 1,1,1,100000001,510000000826,
2,,Segment,2,4,Image 1,1,1,100000000,510000000827,
2,,Segment,2,5,Image 1,2,1,100000000,510000000828,
2,,Segment,2,1,Image 1,2,1,100000000,510000000829,
2,,Segment,2,8,Image 1,2,1,100000001,510000000830,
2,,Segment,2,5,Image 1,1,1,100000001,510000000831,
2,,Segment,2,1,Image 1,2,1,100000001,510000000832,
