
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
62,,Segment,3,11,Image 1,5,1,100000000,510000000020,
62,,Segment,3,10,Image 1,5,1,100000000,510000000027,
83,,Segment,3,9,Image 1,5,1,100000000,510000000029,
105,,Segment,3,8,Image 1,4,1,100000000,510000000063,
89,,Segment,3,7,Image 1,4,1,100000000,510000000098,
111,,Segment,3,6,Image 1,3,1,100000000,510000000126,
147,,Segment,3,5,Image 1,3,1,100000000,510000000149,
130,,Segment,3,4,Image 1,3,1,100000000,510000000176,
72,,Segment,3,3,Image 1,3,1,100000000,510000000188,
92,,Segment,3,2,Image 1,2,1,100000000,510000000199,
90,,Segment,3,1,Image 1,2,1,100000000,510000000202,
111,,Segment,3,0,Image 1,1,1,100000000,510000000230,
62,,Segment,3,11,Image 1,6,1,100000000,510000000254,
75,,Segment,3,10,Image 1,6,1,100000000,510000000265,
83,,Segment,3,9,Image 1,4,1,100000000,510000000267,
102,,Segment,3,8,Image 1,5,1,100000000,510000000294,
103,,Segment,3,3,Image 1,1,1,100000000,510000000326,
61,,Segment,3,2,Image 1,1,1,100000000,510000000335,
107,,Segment,3,1,Image 1,1,1,100000000,510000000352,
52,,Segment,3,0,Image 1,1,1,100000000,510000000368,
53,,Segment,3,3,Image 1,2,1,100000000,510000000383,
46,,Segment,3,2,Image 1,2,1,100000000,510000000391,
95,,Segment,3,1,Image 1,2,1,100000000,510000000397,
160,,Segment,3,8,Image 1,4,1,100000000,510000000410,
160,,Segment,3,7,Image 1,3,1,100000000,510000000450,
160,,Segment,3,8,Image 1,3,1,100000000,510000000455,
97,,Segment,3,6,Image 1,4,1,100000000,510000000460,
123,,Segment,3,5,Image 1,4,1,100000000,510000000464,
45,,Segment,3,4,Image 1,4,1,100000000,510000000469,
112,,Segment,3,4,Image 1,2,1,100000000,510000000517,
107,,Segment,3,3,Image 1,2,1,100000000,510000000542,
87,,Segment,3,4,Image 1,3,1,100000000,510000000545,
136,,Segment,3,4,Image 1,2,1,100000002,510000000559,
149,,Segment,3,3,Image 1,1,1,100000002,510000000591,
108,,Segment,3,2,Image 1,1,1,100000002,510000000604,
149,,Segment,3,1,Image 1,1,1,100000002,510000000624,
69,,Segment,3,0,Image 1,1,1,100000002,510000000642,
124,,Segment,3,4,Image 1,1,1,100000002,510000000678,
69,,Segment,3,3,Image 1,2,1,100000002,510000000683,
131,,Segment,3,1,Image 1,2,1,100000002,510000000701,
124,,Segment,3,2,Image 1,2,1,100000002,510000000703,
11,,Segment,3,5,Image 1,3,1,100000000,510000000706,
67,,Segment,3,4,Image 1,2,1,100000000,510000000714,
48,,Segment,3,3,Image 1,1,1,100000000,510000000721,
