
Spine Center Number of Voxel Ch=1 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7,,Spine,1,7,Image 1,4,1,100000005,610000011232,
5,,Spine,1,0,Image 1,1,1,100000006,610000011236,
13,,Spine,1,4,Image 1,1,1,100000004,610000011248,
8,,Spine,1,7,Image 1,2,1,100000005,610000011255,
9,,Spine,1,9,Image 1,5,1,100000006,610000011263,
5,,Spine,1,9,Image 1,5,1,100000006,610000011268,
3,,Spine,1,6,Image 1,2,1,100000005,610000011270,
4,,Spine,1,5,Image 1,2,1,100000001,610000011273,
9,,Spine,1,4,Image 1,1,1,100000004,610000011281,
9,,Spine,1,4,Image 1,2,1,100000004,610000011289,
8,,Spine,1,5,Image 1,4,1,100000004,610000011296,
3,,Spine,1,5,Image 1,4,1,100000004,610000011298,
3,,Spine,1,8,Image 1,4,1,100000006,610000011300,
5,,Spine,1,2,Image 1,2,1,100000004,610000011304,
3,,Spine,1,7,Image 1,3,1,100000000,610000011306,
4,,Spine,1,0,Image 1,1,1,100000001,610000011311,
8,,Spine,1,4,Image 1,1,1,100000004,610000011318,
3,,Spine,1,9,Image 1,5,1,100000006,610000011320,
4,,Spine,1,13,Image 1,7,1,100000001,610000011323,
5,,Spine,1,4,Image 1,2,1,100000003,610000011327,
3,,Spine,1,5,Image 1,4,1,100000004,610000011329,
3,,Spine,1,9,Image 1,4,1,100000005,610000011333,
7,,Spine,1,5,Image 1,3,1,100000001,610000011339,
4,,Spine,1,15,Image 1,2,1,100000001,610000011343,
5,,Spine,1,0,Image 1,1,1,100000003,610000011347,
4,,Spine,1,5,Image 1,3,1,100000001,610000011351,
4,,Spine,1,1,Image 1,1,1,100000003,610000011354,
3,,Spine,1,0,Image 1,1,1,100000003,610000011357,
5,,Spine,1,3,Image 1,2,1,100000004,610000011361,
4,,Spine,1,2,Image 1,1,1,100000004,610000011364,
3,,Spine,1,7,Image 1,2,1,100000005,610000011368,
4,,Spine,1,1,Image 1,1,1,100000004,610000011371,
7,,Spine,1,4,Image 1,2,1,100000004,610000011378,
6,,Spine,1,5,Image 1,3,1,100000001,610000011383,
4,,Spine,1,1,Image 1,2,1,100000000,610000011387,
8,,Spine,1,4,Image 1,2,1,100000004,610000011394,
